,recipeID,ingredient_and_quantity,ingredient_gt
2868,232,salt,salt
2869,232,vegetable oil,vegetable oil
2870,233,1 red onion,onion
2871,233,6 garlic cloves,garlic
2872,233,bunch of parsley,parsley
2873,233,500g tinned chickpeas,chickpeas
2874,233,4 tsp ground cumin,cumin
2875,233,4 tsp smoked paprika,paprika
2876,233,2 tsp ground cinnamon,cinnamon
2877,233,2 tbsp tomato puree,tomato puree
2878,233,120g breadcrumbs,breadcrumbs
2879,233,2 tbsp soy sauce,soy sauce
2880,233,2 eggs,eggs
2881,233,400g baby plum tomatoes,tomatoes
2882,233,1 cucumber,cucumber
2883,233,2 lemons,lemon
2884,233,2 tsp sumac,sumac
2885,233,4 tbsp tahini,tahini
2886,233,2 tbsp harissa paste,harissa paste
2887,233,4 wholemeal pittas,pita bread
2888,233,500g arla skyr creamy 5% yogurt,skyr yogurt
2889,233,salt,salt
2890,233,pepper,pepper
2891,233,olive oil,olive oil
2892,234,600g chicken thigh fillets,chicken thigh
2893,234,1⁄2 tsp chinese five spice,five spice
2894,234,2 tbsp crispy chilli oil,chilli oil
2895,234,1 tsp sesame oil,sesame oil
2896,234,2 cloves of garlic,garlic
2897,234,1 loaf of ciabatta,ciabatta
2898,234,1 tbsp sesame seeds,sesame seeds
2899,234,1 tbsp black sesame seeds,sesame seeds
2900,234,1 egg,egg
2901,234,3 tbsp xo sauce,xo sauce
2902,234,1 tsp dijon mustard,dijon mustard
2903,234,"30g parmesan, plus more to serve",parmesan
2904,234,1 lemon,lemon
2905,234,4 little gem lettuce,baby gem lettuce
2906,234,salt,salt
2907,234,pepper,pepper
2908,234,vegetable oil,vegetable oil
2909,235,25g walnuts,walnuts
2910,235,220g jarred red peppers,peppers
2911,235,small bunch of basil,basil
2912,235,6 tinned anchovies,anchovies
2913,235,2 tsp capers,capers
2914,235,25g parmesan,parmesan
2915,235,1 tbsp red wine vinegar,wine vinegar
2916,235,500g rigatoni,rigatoni
2917,235,salt,salt
2918,235,pepper,pepper
2919,235,olive oil,olive oil
2920,236,500g mixed wild mushrooms,mushrooms
2921,236,1⁄2 tsp cumin seeds,cumin seeds
2922,236,1 tbsp honey,honey
2923,236,5cm knob of ginger,ginger
2924,236,3 cloves of garlic,garlic
2925,236,4 tbsp miso paste,miso paste
2926,236,2 tbsp soy sauce,soy sauce
2927,236,300g spinach,spinach
2928,236,400g firm tofu,tofu
2929,236,400g soba noodles,soba noodles
2930,236,4 tbsp sesame oil,sesame oil
2931,236,2 tbsp sesame seeds,sesame seeds
2932,236,salt,salt
2933,236,pepper,pepper
2934,237,1 clove of garlic,garlic
2935,237,1 sprig of rosemary,rosemary
2936,237,800g gnocchi,gnocchi
2937,237,500g cherry tomatoes,cherry tomatoes
2938,237,1⁄2 tsp chilli flakes,chilli
2939,237,250g burrata,burrata
2940,237,30g pine nuts,pine nuts
2941,237,large bunch of basil,basil
2942,237,30g parmesan,parmesan
2943,237,salt,salt
2944,237,pepper,pepper
2945,237,olive oil,olive oil
2946,238,150g raw king prawns shelled,king prawns
2947,238,4 small crusty baguettes,baguette
2948,238,1 lemon,lemon
2949,238,5 tbsp pret ketchup,ketchup
2950,238,4 tbsp mayo,mayonnaise
2951,238,1 tsp worcestershire sauce,worcestershire sauce
2952,238,2 spring onions,spring onions
2953,238,handful iceberg lettuce,lettuce
2954,238,2 tsps black and white sesame seeds,sesame seeds
2955,238,1 tbsp butter,butter
2956,238,salt,salt
2957,238,pepper,pepper
2958,239,500g cooked beetroot,beetroot
2959,239,2 cloves of garlic,garlic
2960,239,2 red chillies,chillies
2961,239,bunch of coriander,coriander
2962,239,3 limes,lime
2963,239,200g feta,feta
2964,239,30g pumpkin seeds,pumpkin seeds
2965,239,salt,salt
2966,239,pepper,pepper
2967,239,olive oil,olive oil
2968,240,1⁄2 cucumber,cucumber
2969,240,3 limes,lime
2970,240,1 lemongrass stick,lemongrass
2971,240,3 red chillies,chillies
2972,240,2 cloves garlic,garlic
2973,240,1 shallot,shallot
2974,240,350g quorn mince,minced meat
2975,240,5 tbsp light brown sugar,sugar
2976,240,3 tbsp apple cider vinegar,apple cider vinegar
2977,240,one bunch coriander,coriander
2978,240,5 spring onions,spring onions
2979,240,one bunch mint,mint
2980,240,3 tbsp jasmine rice,jasmine rice
2981,240,sesame oil,sesame oil
2982,240,2 tbsp sriracha,sriracha
2983,240,400g vermicelli noodles,vermicelli noodles
2984,240,salt,salt
2985,240,vegetable oil,vegetable oil
2986,241,8 eggs,eggs
2987,241,200g chorizo,chorizo
2988,241,3 tomatoes,tomatoes
2989,241,1⁄2 red onion,onion
2990,241,a small handful of coriander,coriander
2991,241,2 tbsp bull’s-eye carolina reaper extra hot sauce,sauce
2992,241,1 lime,lime
2993,241,50g cheddar cheese,cheddar cheese
2994,241,1 avocado,avocado
2995,241,4 tortillas,tortillas
2996,241,salt,salt
2997,241,pepper,pepper
2998,241,olive oil,olive oil
2999,242,1 litre vegetable stock,vegetable stock
3000,242,1 onion,onion
3001,242,5 cloves of garlic,garlic
3002,242,250g oyster mushrooms,oyster mushrooms
3003,242,100g butter,butter
3004,242,300g risotto rice ,risotto rice
3005,242,175ml white wine,wine
3006,242,100g pecorino cheese,pecorino cheese
3007,242,4 chestnut mushrooms,chestnut mushrooms
3008,242,4 fresh organic eggs,eggs
3009,242,salt,salt
3010,242,pepper,pepper
3011,242,olive oil,olive oil
3012,243,500g leeks,leeks
3013,243,bunch of dill,dill
3014,243,bunch of mint,mint
3015,243,200g feta,feta
3016,243,250g ricotta,ricotta
3017,243,2 lemons,lemon
3018,243,290g pitted kalamata olives,pitted kalamata olives
3019,243,280g filo pastry,phyllo pastry
3020,243,salt,salt
3021,243,pepper,pepper
3022,243,olive oil,olive oil
3023,244,4 bulbs of fennel,fennel
3024,244,50g unsalted butter,butter
3025,244,50g white miso paste,miso paste
3026,244,50g cashews,cashews
3027,244,50g breadcrumbs,breadcrumbs
3028,244,1⁄2 tsp chilli powder,chilli powder
3029,244,1 lime,lime
3030,245,500g chorizo sausage,chorizo sausage
3031,245,3 large onions,onions
3032,245,2 garlic cloves,garlic
3033,245,200g cherry tomatoes,cherry tomatoes
3034,245,1 tbsp chilli flakes,chilli
3035,245,400ml red wine,wine
3036,245,75g dark brown sugar,brown dark sugar
3037,245,50ml mayonnaise,mayonnaise
3038,245,15ml american mustard,mustard
3039,245,10ml ketchup,ketchup
3040,245,1⁄2 tsp smoked paprika,paprika
3041,245,25g gherkins,gherkins
3042,245,800g 12% beef mince,beef mince
3043,245,8 slices of american cheese,cheese
3044,245,1⁄4 head of iceberg lettuce,lettuce
3045,245,4 seeded buns,sesame seed hamburger buns
3046,245,salt,salt
3047,245,olive oil,olive oil
3048,246,400g bucatini,bucatini
3049,246,8 cloves garlic,garlic
3050,246,3 spring onions,spring onions
3051,246,4cm knob of ginger,ginger
3052,246,1 tbsp crispy chilli oil,chilli oil
3053,246,3 tbsp soy sauce,soy sauce
3054,246,a small handful coriander,coriander
3055,246,25g parmesan,parmesan
3056,246,salt,salt
3057,246,olive oil,olive oil
3058,247,10 dried chillies,chillies
3059,247,2 shallots,shallots
3060,247,2 sticks of lemongrass,lemongrass
3061,247,1 tsp galangal paste ,galangal paste or ginger
3062,247,4 cloves of garlic,garlic
3063,247,1 tsp ground coriander,coriander
3064,247,1 large butternut squash,butternut squash
3065,247,400g firm tofu,tofu
3066,247,30g cornflour,cornflour
3067,247,1⁄2 tsp ground coriander,ground coriander
3068,247,1 large red pepper,pepper
3069,247,800ml coconut milk,coconut milk
3070,247,1 tsp light brown sugar,sugar
3071,247,1 tsp soy sauce,soy sauce
3072,247,250g tilda fragrant jasmine rice,jasmine rice
3073,247,handful of coriander,coriander
3074,247,2 limes,lime
3075,247,salt,salt
3076,247,pepper,pepper
3077,247,vegetable oil,vegetable oil
3078,248,8 free range pork belly rib slices,pork belly slices
3079,248,1 tbsp sea salt flakes,sea salt
3080,248,1 tbsp sugar,sugar
3081,248,1 tsp fennel seeds,fennel seeds
3082,248,1 tsp coriander seeds,coriander seeds
3083,248,1 tsp cumin seeds,cumin seeds
3084,248,1 tsp onion granules,onion granules
3085,248,1 tsp garlic granules,garlic granules
3086,248,1 large baguette,baguette
3087,248,1⁄2 white cabbage,cabbage
3088,248,1 carrot,carrot
3089,248,1 white onion,onion
3090,248,handful of parsley,parsley
3091,248,230ml white wine vinegar,wine vinegar
3092,248,460ml caster sugar,caster sugar
3093,248,2 large cooking apples,apples
3094,248,1 tbsp honey,honey
3095,248,3 tbsp bull’s-eye carolina reaper extra hot sauce,sauce
3096,248,1⁄2 lemon,lemon
3097,248,6 tbsp mayonnaise,mayonnaise
3098,248,1 clove of garlic,garlic
3099,248,1⁄2 lemon,lemon
3100,249,480g pork belly strips,pork belly strips
3101,249,2 tbsp light soy sauce,soy sauce
3102,249,2 red chillies,chillies
3103,249,4 spring onions,spring onions
3104,249,2 cloves of garlic,garlic
3105,249,600g cooked long grain rice,grain rice
3106,249,2 eggs,eggs
3107,249,1 tbsp fish sauce,fish sauce
3108,249,salt,salt
3109,249,pepper,pepper
3110,250,650g chicken thigh fillets,chicken thigh
3111,250,1 tsp smoked paprika,paprika
3112,250,1⁄2 tsp ground cumin,cumin
3113,250,1⁄2 tsp cayenne pepper,cayenne pepper
3114,250,200g red leicester,red leicester
3115,250,250g low moisture mozzarella,mozzarella
3116,250,4 spring onions,spring onions
3117,250,100ml bull’s-eye smokey chipotle bbq sauce,bbq sauce
3118,250,8 large flour tortillas,flour tortillas
3119,250,salt,salt
3120,250,pepper,pepper
3121,250,olive oil,olive oil
3122,251,1kg skin-on chicken thighs,chicken thighs
3123,251,2 tbsp oregano,oregano
3124,251,1 tbsp red wine vinegar,wine vinegar
3125,251,3 cloves garlic,garlic
3126,251,300g tomatoes,tomatoes
3127,251,1 cucumber,cucumber
3128,251,1⁄2 red onion,onion
3129,251,16 kalamata olives,kalamata olives
3130,251,100g feta,feta
3131,251,1 lemon,lemon
3132,251,150g greek yoghurt,yoghurt
3133,251,salt,salt
3134,251,pepper,pepper
3135,251,olive oil,olive oil
3136,252,"1kg uncooked prawns, deveined and head taken off",prawns
3137,252,1 tsp turmeric,turmeric
3138,252,2 tsp butter,butter
3139,252,2 bay leaves,bay leaves
3140,252,4 cloves,clove
3141,252,3 cardamom pods,cardamom pods
3142,252,1 cinnamon stick,cinnamon
3143,252,2 onions,onions
3144,252,5cm knob of ginger,ginger
3145,252,1 tsp sugar,sugar
3146,252,2 tbsp greek yogurt,yogurt
3147,252,400ml coconut milk,coconut milk
3148,252,1 tbsp coconut cream,coconut cream
3149,252,1 tsp garam masala,garam masala
3150,252,handful of coriander leaves,coriander
3151,252,salt,salt
3152,252,vegetable oil,vegetable oil
3153,253,500g tomatoes,tomatoes
3154,253,2 red peppers,peppers
3155,253,1 onion,onion
3156,253,500g ground lamb,lamb
3157,253,1 bunch of parsley,parsley
3158,253,20g walnuts,walnuts
3159,253,1⁄2 green pepper,pepper
3160,253,5 cloves of garlic,garlic
3161,253,3cm knob of ginger,ginger
3162,253,1 tsp chilli powder,chilli powder
3163,253,1 tsp ground allspice,allspice
3164,253,1⁄2 ground cinnamon,cinnamon
3165,253,1 tsp sumac,sumac
3166,253,2 tbsps butter,butter
3167,253,4 plain naans,naan
3168,253,olive oil,olive oil
3169,253,salt,salt
3170,254,2 cauliflower heads,cauliflower
3171,254,60g pistachios,pistachios
3172,254,1 lemon,lemon
3173,254,large bunch of basil,basil
3174,254,75g parmesan,parmesan
3175,254,2 red chillies,chillies
3176,254,salt,salt
3177,254,pepper,pepper
3178,254,olive oil,olive oil
3179,255,200g rice vermicelli noodles,rice vermicelli
3180,255,1 onion,onion
3181,255,1 red pepper,pepper
3182,255,1 carrot,carrot
3183,255,75g mangetout,mangetout
3184,255,2 spring onions,spring onions
3185,255,2 cloves of garlic,garlic
3186,255,2 tbsp curry powder,curry powder
3187,255,1⁄2 tsp chilli powder,chilli powder
3188,255,2 tbsp light soy sauce or tamari,soy sauce or tamari
3189,255,1 tbsp shaoxing rice wine,rice wine
3190,255,salt,salt
3191,255,vegetable oil,vegetable oil
3192,256,1kg chicken wings,chicken wings
3193,256,160g cornflour,cornflour
3194,256,30g plain flour,flour
3195,256,120g bull’s-eye louisiana chipotle with cajun spices hot sauce,sauce
3196,256,60g butter,butter
3197,256,1 lime,lime
3198,256,3 tbsp honey,honey
3199,256,small handful of chives,chives
3200,256,salt,salt
3201,256,vegetable oil,vegetable oil
3202,257,500g tomatoes,tomatoes
3203,257,1 red pepper,pepper
3204,257,1 clove of garlic,garlic
3205,257,2 red chillies,chillies
3206,257,3 spring onions,spring onions
3207,257,flaky sea salt,sea salt flakes
3208,257,olive oil,olive oil
3209,258,2 tbsp pine nuts,pine nuts
3210,258,600g jarred red peppers,peppers
3211,258,2 tbsp capers,capers
3212,258,2 red chillies,chillies
3213,258,7 tbsp red wine vinegar,wine vinegar
3214,258,1 & 1/2 tbsp coriander seeds,coriander seeds
3215,258,4 aubergines,aubergines
3216,258,a handful of fresh basil,basil
3217,258,salt,salt
3218,258,pepper,pepper
3219,258,olive oil,olive oil
3220,259,4 chicken breasts,chicken breasts
3221,259,3 cloves of garlic,garlic
3222,259,3 red peppers,peppers
3223,259,bunch of parsley,parsley
3224,259,300ml chicken stock,chicken stock
3225,259,1 tsp chilli flakes,chilli
3226,259,150ml white wine,wine
3227,259,salt,salt
3228,259,pepper,pepper
3229,259,olive oil,olive oil
3230,260,1 onion,onion
3231,260,1 carrot,carrot
3232,260,2 sticks of celery,celery
3233,260,4 large tomatoes,tomatoes
3234,260,1 tsp dried oregano,oregano
3235,260,1 tsp tomato puree,tomato puree
3236,260,400ml vegetable stock,vegetable stock
3237,260,1.2kg tinned butter beans,butter beans
3238,260,1 bay leaf,bay leaf
3239,260,1 stick of cinnamon,cinnamon
3240,260,handful of mint,mint
3241,260,salt,salt
3242,260,pepper,pepper
3243,260,olive oil,olive oil
3244,261,4 chicken breasts,chicken breasts
3245,261,500g streaky bacon,streaky bacon
3246,261,600ml bull’s-eye ny steakhouse bbq sauce,bbq sauce
3247,261,200g mature cheddar,cheddar
3248,261,50g sour cream,sour cream
3249,261,a small handful of chives,chives
3250,261,4 potatoes,potatoes
3251,261,50g butter,butter
3252,261,100ml milk,milk
3253,261,2 tbsp brown sugar,sugar
3254,261,2 shallots,shallots
3255,261,250ml chicken stock,chicken stock
3256,261,salt,salt
3257,261,pepper,pepper
3258,261,olive oil,olive oil
3259,262,750g potatoes,potatoes
3260,262,1 bulb of garlic,garlic
3261,262,1 red chilli,chilli
3262,262,2 additional cloves of garlic,garlic
3263,262,1 tbsp sweet smoked paprika,paprika
3264,262,2 spring onions,spring onions
3265,262,100g chorizo,chorizo
3266,262,20g flour,flour
3267,262,1 tbsp tomato puree,tomato puree
3268,262,400g passata,passata
3269,262,150ml chicken stock,chicken stock
3270,262,4 tbsp mayonnaise,mayonnaise
3271,262,handful of parsley,parsley
3272,262,salt,salt
3273,262,olive oil,olive oil
3274,263,1 bunch spring onions,spring onions
3275,263,400g chestnut mushrooms,chestnut mushrooms
3276,263,4 eggs,eggs
3277,263,"40g parmesan, plus more for serving",parmesan
3278,263,50g white miso paste,miso paste
3279,263,50g tahini,tahini
3280,263,1⁄2 tsp chilli flakes,chilli
3281,263,4cm knob ginger,ginger
3282,263,1 tbsp soy sauce,soy sauce
3283,263,500g udon,udon
3284,263,olive oil,olive oil
3285,263,black pepper,pepper
3286,264,6 ripe plum tomatoes,tomatoes
3287,264,160g cold butter,butter
3288,264,1 lemon,lemon
3289,264,2 small cloves of garlic,garlic
3290,264,handful of parsley,parsley
3291,264,500g mafaldine pasta,mafaldine
3292,264,"30g parmesan, plus extra to serve",parmesan
3293,264,salt,salt
3294,264,pepper,pepper
3295,265,800g low moisture mozzarella cheese,mozzarella cheese
3296,265,2 tbsp paprika,paprika
3297,265,2 tbsp ground cumin,cumin
3298,265,2 tbsp ground oregano,oregano
3299,265,3 large eggs,eggs
3300,265,150ml milk,milk
3301,265,200g panko breadcrumbs,panko breadcrumbs
3302,265,200g plain flour,flour
3303,265,3 cloves of garlic,garlic
3304,265,2 tbsp chipotle paste,chipotle paste
3305,265,400g tinned chopped tomatoes,tomatoes
3306,265,olive oil,olive oil
3307,265,vegetable oil,vegetable oil
3308,265,salt,salt
3309,266,600g boneless pork belly,pork belly
3310,266,1 carrot,carrot
3311,266,3 tbsp apple cider vinegar,apple cider vinegar
3312,266,1 tsp white sugar,sugar
3313,266,1 cucumber,cucumber
3314,266,4 spring onions,spring onions
3315,266,2 cloves garlic,garlic
3316,266,1 shallot,shallot
3317,266,2 large stalks of lemongrass,lemongrass
3318,266,4 red chillis,chillies
3319,266,1 tbsp honey,honey
3320,266,3 tsp light brown sugar,sugar
3321,266,2 tbsp soy sauce,soy sauce
3322,266,2 tbsp fish sauce,fish sauce
3323,266,1⁄2 tsp msg,msg
3324,266,100g mayo,mayonnaise
3325,266,2 limes,lime
3326,266,a handful of coriander,coriander
3327,266,4 baguettes,baguette
3328,266,salt,salt
3329,266,olive oil,olive oil
3330,267,4 cloves of garlic,garlic
3331,267,small handful of chives,chives
3332,267,350g sausage meat,sausage
3333,267,50g of mozzarella cheese,mozzarella cheese
3334,267,1⁄2 tsp paprika,paprika
3335,267,1⁄2 tsp onion salt,onion salt
3336,267,1⁄4 tsp dried sage,sage
3337,267,170g plain flour,flour
3338,267,50g of mozzarella cheese,mozzarella cheese
3339,267,a bunch of coriander,coriander
3340,267,half a bunch of mint,mint
3341,267,1 lemon,lemon
3342,267,1 tsp sugar,sugar
3343,267,salt,salt
3344,267,pepper,pepper
3345,267,olive oil,olive oil
3346,268,650g cream cheese,cream cheese
3347,268,175g digestive biscuits,biscuits
3348,268,75g salted butter,butter
3349,268,175g golden caster sugar,golden caster sugar
3350,268,100ml double cream,double cream
3351,268,3 large eggs,eggs
3352,268,1 tsp vanilla extract,vanilla extract
3353,268,4 oranges,oranges
3354,269,500g paneer,paneer
3355,269,4cm knob of ginger,ginger
3356,269,4 cloves of garlic,garlic
3357,269,1 tsp cumin,cumin
3358,269,1⁄2 tsp chilli powder,chilli powder
3359,269,1⁄2 tsp turmeric,turmeric
3360,269,1 tbsp tomato puree,tomato puree
3361,269,3 tbsp mango chutney,mango chutney
3362,269,1 red onion,onion
3363,269,1 lime,lime
3364,269,2 tbsp curry powder,curry powder
3365,269,250g natural yoghurt,yoghurt
3366,269,4 large naan bread,naan bread
3367,269,handful of coriander,coriander
3368,269,2 red chillies,chillies
3369,269,salt,salt
3370,269,pepper,pepper
3371,269,vegetable oil,vegetable oil
3372,270,20g tandoori masala,tandoori masala
3373,270,2 green chillies,chillies
3374,270,50g ginger,ginger
3375,270,4 cloves garlic,garlic
3376,270,100g sea salt,sea salt
3377,270,8 boneless skinless chicken thighs,chicken thighs
3378,270,100ml buttermilk,buttermilk
3379,270,4 tsp curry powder,curry powder
3380,270,2 tsp turmeric,turmeric
3381,270,1⁄2 bunch mint,mint
3382,270,1 red chilli,chilli
3383,270,200ml white wine vinegar,wine vinegar
3384,270,100g caster sugar,caster sugar
3385,270,2 granny smith apples,apples
3386,270,1⁄2 cucumber,cucumber
3387,270,200g yoghurt,yoghurt
3388,270,1 tsp black mustard seeds,mustard seeds
3389,270,150g mayo,mayonnaise
3390,270,200g plain flour,flour
3391,270,100g cornflour,cornflour
3392,270,200g bombay mix,bombay mix
3393,270,100g crispy shallots,shallots
3394,270,8 slices of thick white bread,bread
3395,270,vegetable oil,vegetable oil
3396,271,1 tin black beans ,beans
3397,271,1⁄2 tsp chilli flakes,chilli
3398,271,1⁄4 tsp fennel seeds,fennel seeds
3399,271,"350g quorn mince, chilled",minced meat
3400,271,75g breadcrumbs,breadcrumbs
3401,271,2 eggs,eggs
3402,271,1 tsp dried oregano,oregano
3403,271,2 tsp smoked paprika,paprika
3404,271,"200g roasted red peppers, drained",peppers
3405,271,50g almonds,almonds
3406,271,"100g oil-packed sun-dried tomatoes, drained",sun-dried tomatoes
3407,271,2 cloves of garlic,garlic
3408,271,1 tsp red wine vinegar,wine vinegar
3409,271,100g gouda,gouda
3410,271,1 baby gem lettuce,baby gem lettuce
3411,271,4 brioche burger buns,brioche buns
3412,271,extra virgin olive oil,virgin olive oil
3413,271,salt,salt
3414,271,pepper,pepper
3415,272,200g yoghurt,yoghurt
3416,272,a small handful of coriander,coriander
3417,272,a small handful of mint,mint
3418,272,2cm knob of ginger,ginger
3419,272,2 green chillies,chillies
3420,272,1⁄2 lemon,lemon
3421,272,1 red onion,onion
3422,272,1 tomato,tomato
3423,272,200g mini popadoms,popadoms
3424,272,3 tbsp tamarind sauce,tamarind sauce
3425,272,4 tbsp mango chutney,mango chutney
3426,272,3 tbsp pomegranate seeds,pomegranate seeds
3427,272,1 tsp chaat masala ,chaat masala
3428,272,salt,salt
3429,273,200g cooking chorizo,chorizo
3430,273,100g manchego,manchego
3431,273,30ml olive oil,olive oil
3432,273,30g plain flour,flour
3433,273,1⁄2 tsp smoked paprika,paprika
3434,273,250ml whole milk,milk
3435,273,75g plain flour,flour
3436,273,2 eggs,eggs
3437,273,60g panko breadcrumbs,panko breadcrumbs
3438,273,salt,salt
3439,273,vegetable oil,vegetable oil
3440,274,200g plain flour,flour
3441,274,7g dried instant yeast,yeast
3442,274,1⁄2 tsp sugar,sugar
3443,274,3 tbsp butter,butter
3444,274,50g flaked almonds,flaked almonds
3445,274,25g sultanas,sultanas
3446,274,25g desiccated coconut,coconut
3447,274,25g brown sugar,sugar
3448,274,1⁄2 tsp ground cinnamon,cinnamon
3449,274,1⁄2 tsp ground cumin,cumin
3450,274,small handful of coriander leaves,coriander
3451,274,vegetable oil,vegetable oil
3452,274,salt,salt
3453,275,500g chicken breast,chicken breast
3454,275,1 tsp ground white pepper,pepper
3455,275,300g self-raising flour,self-raising flour
3456,275,200ml pineapple juice,pineapple juice
3457,275,4 tbsp apple cider vinegar,apple cider vinegar
3458,275,50g light brown sugar,sugar
3459,275,4 tbsp ketchup,ketchup
3460,275,2 tbsp soy sauce,soy sauce
3461,275,1 tbsp cornflour,cornflour
3462,275,bamboo skewers,bamboo skewers
3463,276,2 large onions,onions
3464,276,1 aubergine,aubergine
3465,276,2 red peppers,peppers
3466,276,1 tsp ground cumin,cumin
3467,276,1 tsp ground coriander,coriander
3468,276,3 garlic cloves,garlic
3469,276,2 tbsp rose harissa paste,harissa paste
3470,276,250g tilda basmati and wild rice,tilda basmati and wild rice
3471,276,500ml veg stock,vegetable stock
3472,276,a handful of coriander,coriander
3473,276,a handful of almond flakes,almond
3474,276,1 lemon,lemon
3475,276,150g yoghurt,yoghurt
3476,276,oil,oil
3477,276,salt,salt
3478,277,600g plain yoghurt,yoghurt
3479,277,3cm knob of ginger,ginger
3480,277,3 cloves of garlic,garlic
3481,277,3 tbsp tandoori masala,tandoori masala
3482,277,1 tsp chilli powder,chilli powder
3483,277,1 tsp garam masala,garam masala
3484,277,8 chicken thigh fillets,chicken thigh
3485,277,handful of mint,mint
3486,277,handful of coriander,coriander
3487,277,1⁄2 red onion,onion
3488,277,2 large tomatoes,tomatoes
3489,277,1 red chilli,chilli
3490,277,1⁄2 cucumber,cucumber
3491,277,1 lemon,lemon
3492,277,4 tbsp mango chutney,mango chutney
3493,277,4 burger buns,burger buns
3494,277,salt,salt
3495,277,pepper,pepper
3496,278,500g chicken thighs,chicken thighs
3497,278,2 stalks lemongrass,lemongrass
3498,278,1⁄2 small brown onion,onion
3499,278,5 cm knob ginger,ginger
3500,278,1 red chilli,chilli
3501,278,1 tbsp coriander seeds,coriander seeds
3502,278,1 tbsp fennel seeds,fennel seeds
3503,278,3 cloves garlic,garlic
3504,278,150g light brown sugar,sugar
3505,278,100ml soy sauce,soy sauce
3506,278,100ml balsamic vinegar,balsamic vinegar
3507,278,1 tsp cornflour,cornflour
3508,278,1⁄2 red cabbage,cabbage
3509,278,3 carrots,carrots
3510,278,bunch of mint,mint
3511,278,bunch of coriander,coriander
3512,278,2 limes,lime
3513,278,sugar,sugar
3514,278,a small handful peanuts,peanuts
3515,278,olive oil,olive oil
3516,279,6 pret frozen chocolate croissants,chocolate croissants
3517,279,1 tbsp butter,butter
3518,279,150g dark chocolate,dark chocolate
3519,279,100g skin-on almonds,almonds
3520,279,4 tbsp almond butter,almond butter
3521,279,200ml milk,milk
3522,279,400ml double cream,double cream
3523,279,2 tbsp caster sugar,caster sugar
3524,279,2 tsp vanilla extract,vanilla extract
3525,279,4 eggs,eggs
3526,279,a handful of pret dark choc & almond granola ,granola
3527,279,vanilla ice cream ,vanilla ice cream
3528,279,icing sugar ,icing sugar
3529,280,4 pret frozen all-butter croissants,croissants
3530,280,200g gruyere,gruyere
3531,280,40g butter,butter
3532,280,40g flour,flour
3533,280,400ml milk,milk
3534,280,2 tsp dijon mustard,dijon mustard
3535,280,pinch of nutmeg,nutmeg
3536,280,8 slices of ham,ham
3537,280,4 eggs,eggs
3538,280,handful of chives,chives
3539,280,salt,salt
3540,280,pepper,pepper
3541,281,1 head of broccoli,broccoli
3542,281,1 bunch spring onions,spring onions
3543,281,2 red chillies,chillies
3544,281,4 cloves of garlic,garlic
3545,281,3 tbsp tahini,tahini
3546,281,4 tbsp dark soy sauce,dark soy sauce
3547,281,225g smoked tofu,tofu
3548,281,500g egg noodles,egg noodles
3549,282,1 loaf of ciabatta,ciabatta
3550,282,6 cloves garlic,garlic
3551,282,100g cream cheese,cream cheese
3552,282,150g cheddar cheese,cheddar cheese
3553,282,50g butter,butter
3554,282,a small handful of parsley,parsley
3555,282,250g mozzarella,mozzarella
3556,282,salt,salt
3557,282,pepper,pepper
3558,282,olive oil,olive oil
3559,283,150g streaky bacon,streaky bacon
3560,283,6 cloves garlic,garlic
3561,283,3 large onions,onions
3562,283,2 jalapenos,jalapeno chilies
3563,283,3 tbsp butter,butter
3564,283,4 tbsp plain flour,flour
3565,283,750ml milk,milk
3566,283,200g red leicester cheese,cheese
3567,283,5 american cheese slices,cheese slices
3568,283,8 sausages,sausages
3569,283,a small handful of chives,chives
3570,283,8 hot dog buns,hot dog bun
3571,283,salt,salt
3572,283,olive oil,olive oil
3573,284,1 red onion,onion
3574,284,1 clove of garlic,garlic
3575,284,1⁄2 tsp ground cumin,cumin
3576,284,1⁄2 tsp ground cinnamon,cinnamon
3577,284,400g tinned cherry tomatoes,cherry tomatoes
3578,284,1 tbsp rose harissa paste,harissa paste
3579,284,4 pret all-butter croissants,croissants
3580,284,1 tsp dried oregano,oregano
3581,284,4 small eggs,eggs
3582,284,handful of parsley,parsley
3583,284,50g feta,feta
3584,284,salt,salt
3585,284,pepper,pepper
3586,284,olive oil,olive oil
3587,285,2 heads of cauliflower,cauliflower
3588,285,550g jarred chickpeas,chickpeas
3589,285,2 tsp ground cumin,cumin
3590,285,2 tsp smoked paprika,paprika
3591,285,small bunch of parsley,parsley
3592,285,1 pomegranate,pomegranate
3593,285,4 tbsp tahini,tahini
3594,285,1 lemon,lemon
3595,285,1 tbsp honey or agave,honey or agave nectar
3596,285,2 x 250g cooked puy lentils,puy lentils
3597,285,salt,salt
3598,285,pepper,pepper
3599,286,2 tbsp chipotle chilli flakes,chipotle chile
3600,286,2 tbsp smoked paprika,paprika
3601,286,2 tbsp cayenne pepper,cayenne pepper
3602,286,8 cloves garlic,garlic
3603,286,2 onion,onion
3604,286,2 tbsp cumin,cumin
3605,286,2 tbsp oregano,oregano
3606,286,1kg frozen oven fries,french fries
3607,286,4 chicken legs,chicken legs
3608,286,4 tbsps tomato puree,tomato puree
3609,286,2 tbsp cider vinegar,cider vinegar
3610,286,100g sour cream,sour cream
3611,286,2 avocados,avocado
3612,286,2 lime,lime
3613,286,100g strong grated cheddar,cheddar
