,recipeID,instructions,ingredients_no_quantities
201,213,"['finely slice your onion and garlic cloves', 'halve your cherry tomatoes', 'heat a glug of vegetable oil in a frying pan over a low heat', 'add your cumin seeds, black mustard seeds and curry leaves, then fry for 1 min until your kitchen is fragrant and your seeds start popping', 'tip your onions into the pan and fry for 15 mins over a medium heat until totally softened and starting to caramelise', 'add your garlic, chilli powder and turmeric, then cook out for 2 mins more', 'tip your cherry tomatoes into the pan and cook for 5 mins, squishing them with the back of the spoon so they burst a little', 'chop your fish into large chunks', 'add these to the pan along with 200ml water, garam masala and a good pinch of salt', 'pop a lid on the pan and leave to steam on a gentle heat for 6 mins', 'halve one of your limes, then cut the other into wedges', 'chop your coriander', 'add the juice of 1 lime and garam masala to your fish curry', 'check the seasoning, adding more salt and chilli powder if necessary', 'sprinkle with chopped coriander, then serve.']","['onion', 'garlic', 'cherry tomatoes', 'cumin seeds', 'mustard seeds', 'curry leaves', 'chilli powder', 'turmeric', 'fish', 'garam masala', 'lime', 'coriander', 'salt', 'vegetable oil']"
202,214,"['dice the onion, pepper and chorizo before adding them to a large pan over a medium-low heat along with a good drizzle of olive oil', 'sweat down for 5 mins until soft then add the minced garlic, tomato purée, bull’s-eye carolina reaper hot sauce and spices', 'stir and cook for another 3 mins', 'empty the contents of the pan into a small bowl and set aside', 'return the pan to a very high heat', 'add the beef mince to the pan along with a good pinch of salt', 'cook for a few mins until the beef is browned all over', 'add the onion and pepper mix back to the pan along with the tinned tomatoes and half a can of water', 'stir well, scraping the bottom of the pan', 'add the kidney beans, bring to a gentle simmer and leave to cook for at least an hour, stirring occasionally', 'once it’s all thickened up and rich, take off the heat and add a big squeeze of lime juice', 'stir well and taste for seasoning', 'serve over rice with a sprinkle of chopped coriander and an (optional) spoon of sour cream.']","['onion', 'pepper', 'chorizo', 'garlic', 'tomato puree', 'sauce', 'oregano', 'cumin', 'paprika', 'cinnamon', 'beef mince', 'tomatoes', 'kidney beans', 'lime', 'coriander', 'sour cream', 'olive oil']"
203,215,"['preheat your oven to 200°c/400°f', 'gently crush your two cloves of garlic, then peel them', 'start by making a simple tomato sauce', 'in a saucepan, warm 3 tbsp of olive oil over a medium heat and add your garlic', 'after a few minutes they should be lightly golden brown', 'strip the leaves from the basil and add to the oil (be careful, it might spit!) along with the chilli flakes', 'stir and cook for 1 min, then add the tomato passata and 1 tsp salt', 'leave to simmer for about 15 mins', 'set a large pan of salted water on to boil', 'once boiling, add the tortelloni and cook for just 1 min', 'drain and set aside', 'drain and dice up the mozzarella into roughly 1cm cubes', 'after 15 mins, once the sauce has reduced and thickened a little, taste it for seasoning - it might need more salt', 'now, mix the tortellini into the sauce along with two-thirds of the diced mozzarella', 'pour the mixture into an ovenproof dish', 'top with the remaining mozzarella and a generous sprinkling of parmesan', 'bake in the oven for 15 mins until the cheese is golden brown and bubbling', 'let it rest for 5 mins before serving', 'enjoy!']","['garlic', 'basil', 'chilli', 'passata', 'tortellini', 'mozzarella', 'parmesan', 'salt', 'pepper', 'olive oil']"
204,216,"['warm the rude health almond drink in a saucepan until it’s hot but not boiling', 'add 2 tsp of the ground cardamom and 50g of butter', 'stir to dissolve the butter, then set aside to cool', 'add the flour, 75g of the sugar, the yeast, cinnamon, vanilla extract and ½ tsp of salt into a large mixing bowl or stand mixer', 'mix until combined, then pour the milk mix through a sieve into a bowl', 'bring together and then either tip your dough out onto a work surface and knead for about 10 mins, or about 5 mins in a stand mixer with a dough hook', 'once the dough is smooth and springy, clean out the bowl, oil it lightly, and then return the dough to the bowl', 'cover the bowl with cling film and allow the dough to prove for about an hour somewhere warm, or in the fridge overnight', 'preheat your oven to fan 170 ° c\nto make the filling, mix the remaining 170g of butter with the remaining sugar and 1 tsp ground cardamom until you have a soft paste', 'line 2 baking trays with greaseproof paper', 'knock back the dough to remove the air, then use a rolling pin to roll it into a rectangle roughly 40x60cm in size', 'now, you’re going to want to spread all of the cardamom butter edge-to-edge across the entire surface', 'fold the dough into thirds, like a leaflet, so that you have three equal layers one on top of the other', 'next, roll that dough again to compress the layers and make a slightly bigger rectangle', 'slice the rectangle widthways into about 12 even slices', 'take a slice and gently twist each end of it until it forms a spiralled sausage, then wrap it around 3 fingers so you have a loop, and finally knot it in on itself', 'place each bun on a baking tray as you go', 'once they’re all knotted and ready, cook in the oven for about 20 mins until golden brown', 'while the buns are baking, make a simple syrup with 5 tbsp of water, 5 tbsp caster sugar and ½ tsp of ground cardamom', 'once the buns are out of the oven, brush with the syrup as they cool', 'best enjoyed the same day!']","['almond drink', 'cardamom', 'butter', 'bread flour', 'golden caster sugar', 'yeast', 'cinnamon', 'vanilla extract', 'salt', 'neutral oil']"
205,217,"['blend together the red chillies, shallots, garlic, lemongrass, ground coriander, ground cumin, coriander and the juice and zest of a lime in a blender until smooth', 'add in half the prawns and blend until smooth', 'roughly chop the remaining prawns', 'combine the blended prawns with the chopped prawns and season with salt', 'pour the desiccated coconut into a shallow bowl', 'spread a thick layer of your prawn mix on top of each slice of bread and then press those slices, prawn-side down, into the bowl of desiccated coconut', 'the aim is to make sure the top of each slice is covered in coconut', 'next, cut each piece half diagonally to make neat triangles', 'heat a generous glug of vegetable oil in a medium-sized frying pan', 'add your slices of bread prawn-side up and fry for 2 mins until you have a crispy golden base', 'carefully flip over and cook for 2 mins on the other side until crisp', 'drain your toast on a plate lined with kitchen paper while you repeat the process with your remaining un-fried slices', 'serve hot with sweet chilli sauce.']","['chillies', 'shallots', 'garlic', 'lemongrass', 'coriander', 'cumin', 'pepper powder', 'coriander', 'galangal paste', 'lime', 'prawns', 'bread', 'coconut', 'chilli sauce', 'vegetable oil']"
206,218,"['thinly slice your garlic and finely chop your onion', 'cook your onion in a glug of oil from the sundried tomatoes jar on medium heat for 5 mins until softened', 'turn the heat to low and add in your garlic and cumin seeds', 'cook for another 5 mins until slightly golden', 'meanwhile, blend up the sundried tomatoes', 'add in the harissa paste and cook on a medium heat for 5 mins until the colour is darkened and the oil is stained red', 'meanwhile, pop you spaghetti in some heavily salted boiling water and cook until al dente, 7 mins', 'add tomato puree to the pan and cook with the harissa until the pasta is ready', 'it should turn a dark brown colour', 'then add in the sun-dried tomatoes', 'meanwhile finely chop the parsley', 'add in 250ml of pasta water and mascarpone and mix well', 'then add in the cooked spaghetti and cook for a further 2 mins tossing well so the pasta is fully cooked and coated well in the sauce', 'stir in the parsley and season to taste', 'serve up in your bowls and enjoy.']","['garlic', 'onion', 'cumin seeds', 'sun-dried tomatoes', 'tomato puree', 'harissa', 'spaghetti', 'mascarpone', 'parsley', 'salt']"
207,219,"['first off let’s prepare the sweetcorn (skip this step if using tinned)', 'if it still has the outer leaves, strip these off and then cook in boiling water for 5 mins until the kernels are soft to a fork tip', 'drain and once cool enough to handle, stand the sweetcorn on its end and use a knife to cut the kernels from the cob', 'set aside', 'finely dice the onion', 'place a large pan over a medium heat, add the butter and when it foams, add the onion, the sweetcorn, a few chopped sage leaves and a pinch of salt', 'cook gently for 7 or 8 mins until the onion is soft and golden', 'add the rice and cook for another 2 mins until it’s well coated in the butter and the edges have gone slightly translucent', 'pour in the wine, stir and let it bubble until almost completely evaporated', 'now add the stock a ladleful at a time, stirring until each ladle is absorbed before adding another', 'this should take between 15 and 20 mins', 'meanwhile, roughly chop the hazelnuts and lightly toast in a pan', 'set aside', 'pick the rest of the sage leaves and fry them in a good slug of olive oil until crispy', 'set aside on kitchen paper', 'once all of the stock has been used up, the rice should be cooked through but still have a little ‘bite’ to it - think al dente pasta', 'at this point, remove from the heat, add the grated cheese, most of the hazelnuts (leave a few to go on top) stir well and cover with a lid', 'leave to rest for 5 mins', 'plate up the risotto, top with crispy sage leaves and a drizzle of the olive oil you fried them in.']","['corn', 'onion', 'butter', 'risotto rice', 'wine', 'vegetable stock', 'hazelnuts', 'grana padano', 'parmesan', 'sage']"
208,220,"['finely slice your onion and add it to a small bowl with your red wine vinegar and a good pinch of salt', 'mix well and set aside for at least 10 mins', 'dice then mince the garlic before adding it to a large mixing bowl', 'core and then cut your tomatoes into chunks, add to the bowl along with all of the juices they release', 'drain the onions and add to the bowl with the capers, basil, a large pinch of salt, a good drizzle of olive oil and squeeze of lemon juice', 'mix well', 'taste for seasoning – it should be bright and zingy, so add more salt/lemon juice as needed', 'now that the base is done, you can choose if you want to add bread and go for a panzanella or cook up some pasta and use it as a simple sauce', 'for the panzanella, tear up a few large handfuls of sourdough (bread that’s a few days old works best), add them to the bowl and mix well, letting the bread soak up all of the tomato juice', 'for the pasta (i like conchiglie), cook it in boiling salted water until al dente before draining, adding to the bowl with tomatoes, and mixing well', 'allow that sit for a few minutes before plating.']","['onion', 'wine vinegar', 'tomatoes', 'garlic', 'capers', 'basil', 'lemon', 'sourdough', 'pasta']"
209,221,"['combine your chicken in a bowl with 1 tbsp soy sauce, 1 tbsp apple cider vinegar, 1 tbsp gochujang, 2 eggs, yoghurt, ½ tsp white pepper and ½ tsp of salt', 'allow to marinate in the fridge for 30 mins or ideally overnight', 'finely chop 5 spring onions and grate your ginger and garlic into a bowl', 'whisk in the sour cream, gochujang, 1 tsp apple cider vinegar, sesame oil, honey, 2 tbsp soy sauce, and chilli oil bits', 'shred the cabbage and finely chop the coriander and spring onions', 'mix 100g mayo, 3 tbsp apple cider vinegar and ½ tsp salt', 'mix it all together scrunching it up with your hands', 'blitz 100g mayo with your kimchi', 'taste and add salt, if needed', 'this will depend on how salty your kimchi already is', 'season the plain flour with 1 tsp salt', 'dunk your chicken pieces into the flour, pressing and squeezing the flour into every crevice of the chicken', 'lift the chicken pieces out of the flour and repeat the squeezing process 3 times – the aim is to form lots of craggy bits', 'get a big pot ready (enough for frying) and fill with enough oil', 'deep fry the chicken until cooked through and golden brown', 'toast the brioche buns and add in a few dollops of the slaw to the base', 'after that, layer on your crispy chicken and drizzle over lots of the spicy sauce', 'spread the kimchi mayo on the top bun and press down the burger', 'enjoy, but make sure to have a lot of napkins to hand.']","['chicken thighs', 'soy sauce', 'apple cider vinegar', 'gochujang base', 'eggs', 'yoghurt', 'pepper powder', 'salt', 'flour', 'spring onions', 'ginger', 'garlic', 'sour cream', 'gochujang base', 'apple cider vinegar', 'sesame oil', 'honey', 'soy sauce', 'chilli oil', 'cabbage', 'coriander', 'spring onions', 'mayonnaise', 'apple cider vinegar', 'mayonnaise', 'kimchi', 'brioche buns']"
210,222,"['start by getting your pasta to a boil in a pan of salty water, by the time it’s done the sauce will be ready', 'separate your egg yolks into a bowl and add the zest and juice of 1 lemon before throwing in a good pinch of salt, 1 tsp of black pepper, and grated parmesan', 'mix well into a loose paste', 'add a ladle of pasta water to a large mixing bowl, swirl it around a bit, and then pour it out', 'once the pasta is al dente, drain it and add it to the warm bowl along with the egg mix', 'stir well, adding splashes of pasta water until you have a creamy emulsified sauce', 'taste and then add as much juice of the second lemon as needed', 'serve with a little more parmesan, pepper and lemon zest.']","['lemon', 'eggs', 'spaghetti', 'parmesan', 'salt', 'pepper']"
211,223,"['blend up the red chillies to form a smooth paste, empty this into a bowl', 'blend up the garlic, ginger and onion until smooth, don’t worry about washing the blender in between', 'pop this into a bowl', 'peel the mango and chop the flesh', 'finely dice about 2 tbsps of mango and roughly chop the rest', 'gently take the silken tofu out of its packaging and place it onto a chopping board', 'chop your tofu up into large cubes', 'blend the large cubes of mango in a blender until smooth', 'heat a large glug of oil in a frying pan, add in your blended red chillies and cook for 5 mins until the oil is stained red', 'add in the tomato purée and cook for another 5 mins, the purée will darken in colour', 'add in the blended onion mixture and cook for 2 mins', ""next, you're going to want to pour in the mango and tamarind purée and cook for an additional 3 mins until slightly thickened"", 'pour in 250ml of water and gently add in the silken tofu', 'mix gently so as not to break apart the tofu and allow to bubble for 5 mins on low heat', 'finely chop your spring onions', 'meanwhile, get your kettle boiling', 'put your tahini in a bowl and pour in 100ml of boiling water whisking constantly to get a thick sauce', 'you may need to add more water to get the right consistency', 'season with salt', 'serve up the tofu in a large bowl, drizzle with the tahini sauce, more tamarind sauce, spring onion and the finely chopped mango', 'enjoy with rice.']","['chillies', 'garlic', 'ginger', 'onion', 'mango', 'tomato puree', 'tamarind purée', 'tahini', 'spring onion', 'tofu', 'vegetable oil', 'salt']"
212,224,"['heat your oven to 190°c', 'chop your cauliflower into large florets and roughly chop the leaves and stems', 'bring a pan of salted water to a boil', 'add your cauliflower florets and leaves, then cook for 4 mins until just tender', 'add your butter to a large saucepan and add your cumin seeds', 'fry for a minute until fragrant', 'add in your tomato purée and cook for 3 mins until the colour has darkened', 'spoon in your ginger and garlic paste, then cook for 30 seconds until fragrant', 'add in your chilli powder and turmeric, then cook out for a further 2 mins', 'add your flour, then mix to a paste and cook for another 2 mins', 'gradually pour in your milk in small increments, whisking constantly so you have a smooth paste before pouring in more', 'once all your milk has been added, bring your mixture to a boil and let it simmer for 2 mins until thickened', 'remove your sauce from the heat', 'add your cheddar and stir until is has totally melted', 'season to taste with salt and pepper', 'tip your cauliflower into a baking dish and pour over your cheese sauce', 'bake for 25 mins until golden and bubbly', 'serve and enjoy.']","['cauliflower', 'butter', 'cumin seeds', 'tomato puree', 'garlic', 'ginger paste', 'chilli powder', 'turmeric', 'flour', 'milk', 'cheddar', 'salt', 'pepper']"
213,225,"['wash, trim and cut the pak choi into halves, set aside', 'wash the spring onions then finely slice the green tops only, set aside', 'now we’ll make a quick glaze', 'into a bowl, peel and grate the ginger, then add the sriracha, soy sauce, honey, cornflour, sunflower oil', 'mix well, then add 3 tbsp of water and mix again', 'get a large frying pan over a medium high heat and add a drizzle of sunflower oil', 'fry the pak choi for a few minutes, cut-side down until golden brown, then flip and cook for another minute', 'remove and set aside', 'in the same pan, add the quorn fillets and cook for about 5 mins until golden brown, then flip and repeat on the other side', 'now give the glaze a quick stir and pour into the pan with the quorn fillets', 'keep swirling the pan and let the glaze bubble and reduce for a minute or so until thick and glossy', 'add your jasmine rice to a bowl with the pak choi, then the quorn fillets', 'spoon over some more of the glaze, then top with spring onions, sesame seeds and finish with a squeeze of lime', 'enjoy!']","['pak choi', 'spring onions', 'ginger', 'sriracha', 'soy sauce', 'honey', 'cornflour', 'sunflower oil', 'fillets', 'jasmine rice', 'sesame seeds', 'lime']"
214,226,"['preheat your oven to 150°c', 'first up, season the brisket', 'next, mix your cayenne, coriander, garlic powder, cumin, onion salt and paprika in a bowl', 'rub that well all over the brisket', 'get a heavy pan on a high heat and add a drizzle of olive oil', 'add the garlic, then the brisket', 'sear the brisket on all sides to give it some good colour', 'add the onions and continue frying for 2 mins', 'add 300ml of water, cut your lime in half and then squeeze the lime before adding the lime halves to the pan along with a good pinch of salt', 'bring the liquid to a boil, then put a lid on the pan and place it into the middle of the oven for 3 hours', 'remove the brisket from the pan and use two forks to shred it into a bowl', ""meanwhile, add 1 tbsp bull's-eye original bbq sauce to the brisket cooking liquid, bring to a simmer and reduce on the hob to make a sauce"", ""add an extra 2 tbsp bull's-eye original bbq sauce to the shredded brisket and mix"", 'once it has thickened and reduced, add the sauce to the brisket in the bowl and mix well', 'cut the baguette into 4 and then slice each piece open', 'spread with butter, then top with a generous amount of brisket and some sliced cheddar', 'place under the grill until the cheese is melted', ""top with some mixed leaves and a good drizzle of bull's-eye original bbq sauce"", 'close and enjoy!']","['beef brisket', 'cayenne', 'coriander', 'garlic powder', 'cumin', 'onion salt', 'paprika', 'garlic', 'onion', 'lime', 'bbq sauce', 'baguette', 'butter', 'cheddar', 'salad', 'salt', 'olive oil']"
215,227,"['first, finely dice your onion and chop your bacon', 'pour a large glug of olive oil into your pan and add in your onions', 'cook on a medium heat for 5 mins until translucent and very soft, but not brown', 'add in your bacon, then cook for 5 mins until lightly browned and crispy', 'deglaze your pan with the white wine and scrape down the bottom', 'cook this for 3 mins until the wine has reduced', 'add in your plum tomatoes and allow this to bubble down for 15 mins', 'get a pan of water boiling and heavily season with salt', 'add in the spaghetti and cook for 4 mins', 'add a cup of pasta water into the tomato sauce', 'add the chilli flakes into the tomato sauce and give it a good mix', 'season with salt and pepper', 'when the pasta is cooked through, but still al dente, add it straight into the saucepot', 'give it a good mix so the pasta is well coated in the sauce', 'serve this up in your bowls using your tongs to twirl the pasta', 'serve with a healthy grating of pecorino cheese and enjoy.']","['sweet onion', 'bacon', 'wine', 'tomatoes', 'spaghetti', 'pecorino cheese', 'olive oil', 'salt', 'pepper']"
216,228,"['combine the mayo, chipotle paste, ¼ tsp salt and the zest of a lime', 'finely slice the red cabbage and coriander', 'mix together with ½ tsp salt and the juice of a lime', 'chop up the cauliflower into small florets, and the stem and leaves into bite-sized pieces\nwhisk together the self-raising flour, paprika and 1 tsp of salt', 'add in a handful of ice and slowly whisk in the beer to form a light and airy batter', 'heat up a large pot of vegetable oil on medium heat', 'dip the cauliflower into the batter and then straight into the frying oil', 'fry for 5-8 mins until cooked through and golden', 'continue with the stems and leaves', 'the leaves will only take a minute to cook', 'toast the tortillas on a dry saucepan', 'top the tortillas with the crispy cauliflower, then the zesty cabbage followed by your chipotle mayo', 'and tuck in.']","['mayonnaise', 'chipotle paste', 'lime', 'cabbage', 'coriander', 'cauliflower', 'self-raising flour', 'paprika', 'ice', 'beer', 'tortillas', 'salt', 'vegetable oil']"
217,229,"['roughly chop up your garlic, spring onions and kimchi', 'grate the cheddar and emmental cheese', 'get a large pan of boiling salted water and cook your pasta', 'get a large pan on a medium heat and melt the butter with 2 tbsp of oil', 'add in the garlic and cook for 4 mins until golden and softened', 'whisk in the gochujang and cook for 1 min', 'whisk the flour into the butter and cook for 2 mins', 'then slowly drizzle in half the milk whisking constantly to form a thick paste', 'add the remaining milk and mix until smooth', 'add in grated cheese, honey and the cooked pasta', 'mix well until combined', 'fold in the kimchi and spring onions and season to taste', 'you may not need any salt if your kimchi is already very salty', 'finely chop the parsley and grate 3/4 of the parmesan cheese', 'combine these with the breadcrumbs in a bowl', 'spoon the mac and cheese into an oven tray and top with the breadcrumbs', 'grate on the remaining parm and bake for 20 mins until the top is browned and the inside is gooey', 'allow to cool for 5 mins and enjoy.']","['garlic', 'spring onions', 'kimchi', 'cheddar cheese', 'emmenthal', 'macaroni', 'butter', 'gochujang base', 'flour', 'milk', 'honey', 'breadcrumbs', 'parsley', 'parmesan', 'salt', 'olive oil']"
218,230,"['gently bash the cucumbers with a rolling pin until they break up into large pieces', 'chop these up into bite-sized pieces then roughly chop up the spring onions', 'chop up the halloumi into small slices and pan-fry them with a glug of olive oil for 2 mins on either side until golden brown and crispy', 'in a large bowl, add in your tahini and 3 tbsp of boiling water', 'whisk well until smooth then add in the soy sauce and crispy chilli oil', 'add the cucumbers, halloumi and spring onions to the dressing', 'toss well and serve up in bowls with some more chilli oil and enjoy!']","['cucumber', 'spring onions', 'halloumi', 'tahini', 'soy sauce', 'chilli oil']"
219,231,"['score a cross on the top of each tomato', 'place all your tomatoes in a large bowl and pour boiling water over them', 'leave to sit for 1 min, then drain and set aside to cool', ""once they're cool enough to handle, peel off the skin of each tomato"", 'cut the core out of each one', 'finely slice your garlic and chillies', 'finely chop your chives', 'heat a generous glug of olive oil in a large sauté pan', 'add your garlic and cook gently for a minute', 'tip in your tomatoes and mash them up with a potato masher to purée them', 'simmer for about 40 mins on a gentle heat until thick', 'add all but a handful of your sliced chilli, then season to taste with salt and pepper', 'bring a large pan of salted water to a boil', 'pour in your rigatoni and cook until al dente', 'tear your basil leaves into the tomato sauce', 'add your rigatoni, along with a splash of your pasta water, then mix to combine', 'add more pasta water where necessary to make a glossy sauce', 'spoon your pasta into bowls and tear over that beautiful buffalo mozzarella', 'sprinkle with your remaining chilli, some more torn basil, your chopped chives, and some olive oil', 'serve up and enjoy.']","['tomatoes', 'garlic', 'chillies', 'basil', 'chives', 'rigatoni', 'mozzarella', 'salt', 'pepper', 'olive oil']"
220,232,"['remove the skin from the chicken legs and thighs and chop the thighs in half through the bone', 'combine the chicken with the yoghurt and allow to marinate until you are ready to use, or up to 12 hours', 'wash the rice well in cold water, three times until the water comes out clean', 'allow it to soak in 1 litre of water for 30 mins', 'in a dry skillet, toast the cumin seeds, coriander seeds, cloves, fennel seeds, black peppercorns and cardamom', 'toast for 1 min until fragrant and blitz in a spice grinder', ""if you haven't got a spice grinder, pound the mixture in a mortar and pestle until it forms a fine paste"", 'finely slice the onions and finely chop the tomatoes', 'thinly slice 1 lemon and chop the last one in half', 'heat up 50ml of oil in a pan and fry the onions until very crispy and darkened', 'remove ¼ of the onions and set aside', 'add in the biryani spice mix along with your chilli powder, ½ tsp turmeric, ground nutmeg, cinnamon stick, black cardamom and 2 tsp salt', 'cook for 1 min, allowing the spices to bloom and become fragrant', 'add the tomatoes, whole green chillies, sugar, grate in the garlic and ginger', 'cook for 5 mins until the tomatoes have softened and are bubbling', 'add in the chicken, yoghurt and 100ml of water', 'mix well and cook for 10 mins until the chicken is 80% cooked through', 'set aside', 'drain the rice, and cook in 1 litre of fresh cold water with 1 tbsp of ghee, 1 tsp salt, and the juice of half a lemon', 'bring to a boil and then set a timer for 4 mins', 'drain the par-cooked rice in a sieve and set aside', 'finely chop the coriander and mint', 'in a small bowl combine 1 tsp turmeric with 4 tbsp milk', 'spread the ghee or butter on the bottom of your heavy-bottomed pan', 'spread over half the rice, and top with the cooked chicken and your curried sauce', 'make a layer with half of your thinly sliced lemon and then cover it with rice', 'top with more rice, mint, coriander, reserved onions', 'sprinkle on the turmeric milk mixture to add some colour to the rice', 'cover with a lid and place on a medium heat until you can see steam coming out, then time for 5 mins', 'uncover, plate up with a squeeze of lemon and enjoy.']","['chicken legs', 'chicken thighs', 'milk yoghurt', 'cumin seeds', 'coriander seeds', '', 'fennel seeds', 'peppercorns', 'cardamom pods', 'basmati rice', 'chilli powder', 'turmeric', 'nutmeg', 'cardamom pods', 'cinnamon', 'sugar', 'ghee', 'onions', 'garlic', 'ginger', 'tomatoes', 'finger chili', 'lemon', 'mint leaves', 'coriander', 'milk', 'vegetable oil', 'salt']"
221,233,"['finely slice your garlic', 'heat a little oil in a frying pan over a medium heat', 'add your sliced garlic and chilli flakes, then cook out for 2 mins', 'tip in your tinned tomatoes and bring to a simmer', 'cook over a gentle heat for 30 mins until your sauce has thickened up', 'season to taste with salt and pepper', 'add your basil to a pestle and mortar and bash it to a fine paste', 'add your mayonnaise and mix until you have a vibrant green sauce', 'squeeze the sausages out of their skins into a bowl and season with salt and pepper', 'mix to combine, then divide into 8 equal-sized balls', 'heat a frying pan over a high heat', 'add a couple of your sausage balls, then place a piece of baking parchment on top of the pan and pop a heavy-bottomed pan on top', 'fry for a minute or two until crisp, then flip', 'tear off some mozzarella and drape it over the top of your patty before adding a splash of water to the pan and carefully putting a lid on it', 'cook for 2 mins more, until your cheese is melted', 'repeat with your remaining sausage patties and cheese', 'cut your ciabatta rolls in half and toast them cut-side down in the sausage fat', 'assembly time', 'dollop some tomato sauce onto the base of your bun, then top with two sausage patties', 'spread some of your basil mayo onto the lid of the bread, then place it on top and serve.']","['garlic', 'chilli', 'tomatoes', 'basil', 'mayonnaise', 'pork sausages', 'mozzarella', 'ciabatta', 'salt', 'pepper', 'olive oil']"
222,234,"['get your rigatoni on to boil in a large pan of salted water', 'cook until al dente', 'set a large frying pan over medium-high heat', 'dice your aubergine into roughly 2cm squares', 'roughly chop your mint', 'add your aubergines to the pan with a good pinch of salt and keep them moving', 'fry for about 3 mins', 'once the aubergine has taken on some colour, add the ‘nduja and a splash of the pasta cooking water', 'mix well', 'now, add the oregano and a good drizzle of olive oil, mix again and cook for another couple of mins', 'finally, drain your pasta (reserving a little pasta water) and add to the pan with the aubergine', 'keep mixing over a medium heat until you have a thick glossy sauce, adding splashes of pasta water where necessary', 'finally, add a handful of mint and a big squeeze of lemon juice', 'plate up and top with grated pecorino, if you like', 'serve and enjoy.']","['rigatoni', 'aubergines', 'mint', '‘nduja', 'oregano', 'lemon', 'pecorino', 'olive oil', 'salt']"
223,235,"['set up you weber barbecue for indirect cooking and preheat to 200°c, or heat your oven to 200°c/400°f', 'combine your chipotle chilli paste, cumin, coriander, smoked paprika and the zest and juice of ½ lime in a bowl with a good pinch of salt and 1 tbsp of olive oil', 'chicken time', 'lay the chicken on your chopping board breast-side down then, using a pair of scissors, cut either side of the backbone to remove it', 'once the bone is removed, turn the chicken breast-side up and, using your hands, apply some weight to the chicken to flatten it', 'rub your chipotle marinade all over your chicken', 'place the chicken breast-side up on the barbecue over the area with no direct heat, or on a tray in the oven', 'if roasting in the oven, cook for 45 mins until cooked through', 'for the weber barbecue, cook the chicken breast-side up for 40 mins with the lid down', 'flip the chicken and finish cooking it breast-side down for 10 mins over a direct heat', 'remove from the barbecue when the internal temperature reaches 73°c', 'let the chicken rest for 20 mins', 'make your jalapeño crema', 'roughly chop your jalapeño and your avocados', 'pop them in a blender along with your sour cream, the juice of 1 lime and a pinch of salt, then blend to combine', 'check the seasoning', 'finely dice your red onion', 'halve your cherry tomatoes', 'finely chop your coriander', 'add your tomatoes to a bowl with the juice of 1 lime and a pinch of salt, then scrunch up with your hands', 'add your tomatoes and toss to combine', 'cut your corn into ribs, then rub them with salt and olive oil', 'whack those on the barbecue over a direct heat for the final 20 mins of the chicken cooking', 'if cooking in the oven, place them on a baking tray and cook for the final 20 mins of the chicken cooking, turning them halfway through', 'place your chicken on a platter and surround it with your tomato salsa, corn ribs and a bowl of avocado crema', 'sprinkle with a little coriander, then carve up the chicken and serve.']","['chilli paste', 'cumin', 'coriander', 'paprika', 'lime', 'chicken', 'avocado', 'jalapeno', 'sour cream', 'corncobs', 'onion', 'cherry tomatoes', 'coriander', 'salt', 'olive oil']"
224,236,"['start by making the labneh', 'spread a clean tea towel out onto your work surface', 'to the tub of yoghurt, add ½ a tsp of salt and the zest of half a lemon', 'stir well', 'empty the yoghurt out onto the tea towel and bring the four corners together', 'tie the tea towel either to the tap over the sink, or somewhere convenient that you can leave it in a sieve with a bowl underneath', 'it should look like one of those hanging lunchboxes on a stick that they have in cartoons', 'allow the labneh to hang and strain - depending on the thickness of the yoghurt you started with, this may take from 30 mins to 2 hours', 'ultimately, you want a consistency between greek yoghurt and cream cheese', 'peel and finely slice your onions', 'peel your cloves of garlic and crush them gently', 'add 100ml of olive oil to a saucepan and place over a low heat', 'add the onion, garlic and a large pinch of salt, then allow to sizzle gently for at least 20 mins until very soft and golden, but not too browned', 'discard the garlic, and set the onions and all the cooking oil aside to cool', 'while the onions cook, prepare the vegetables', 'use a box grater to grate the courgette into a bowl', 'add a pinch of salt, mix and set aside', 'slice the bottom off the baby gem lettuce and separate the leaves into a large mixing bowl', 'slice the artichokes into quarters and add to the bowl along with the baby gem', 'open up the pitta breads so you have two thin layers of bread, then tear them into roughly 2-inch squares (they don’t have to be neat)', 'put a frying pan over a medium heat, add your butter and a tbsp of olive oil', 'once hot, add the pitta bread and fry until golden and crunchy', 'take off the heat and add a pinch of salt, a tsp of chilli flakes and a tsp of sumac and toss well', 'set aside to cool', 'pop the pan back over a medium-high heat and add a splash of olive oil', 'give the grated courgette a squeeze, then add them to the pan', 'move it around and let it fry for 3 or 4 mins', 'set aside to cool, then repeat with the peas', 'to assemble, mix the now-cooled onions and their cooking oil into the labneh', 'add the peas and courgettes to the bowl with the baby gem and artichokes, a pinch of salt, the juice of 1 lemon', 'add the labneh and mix well to coat everything', 'just before you’re ready to serve, mix through the pitta (keep a few to sprinkle on top)', 'finish with lots of chopped mint, plenty of sumac and olive oil', 'serve and enjoy!']","['peas', 'yoghurt', 'lemon', 'onions', 'garlic', 'zucchini', 'artichokes', 'baby gem lettuce', 'pita bread', 'butter', 'aleppo pepper', 'chilli', 'sumac', 'mint', 'salt', 'olive oil']"
