recipeID,ingredient_and_quantity,ingredient_gt
207,1 onion,onion
207,½ tsp cumin seeds,cumin seeds
207,100g sun-dried tomatoes in oil,sun-dried tomatoes
207,2 tbsp tomato puree,tomato puree
207,100g rose harissa,harissa
207,500g spaghetti,spaghetti
207,150g mascarpone,mascarpone
207,small handful of parsley,parsley
207,salt,salt
208,2 corn on the cob (or 1 300g tin),corn
208,1 large onion,onion
208,50g butter,butter
208,300g risotto rice,risotto rice
208,1 large glass of white wine,wine
208,1.5l vegetable stock,vegetable stock
208,75g hazelnuts,hazelnuts
208,100g grana padana (or parmesan),grana padano or parmesan
208,1 bunch of sage,sage
209,1 red onion,onion
209,4 tbsp red wine vinegar,wine vinegar
209,1kg of ripe tomatoes,tomatoes
209,1 clove of garlic,garlic
209,2 tbsp capers,capers
209,bunch of basil,basil
209,1 lemon,lemon
209,½ large loaf of sourdough or 400g pasta,sourdough
210,"6 boneless, skinless chicken thighs",chicken thighs
210,1 tbsp soy sauce,soy sauce
210,1 tbsp apple cider vinegar,apple cider vinegar
210,2 tbsp gochujang,gochujang base
210,2 eggs,eggs
210,200g yoghurt,yoghurt
210,⅓ tsp white pepper powder,pepper powder
210,½ tsp salt (for the chicken marinade) and 1 tsp salt (for seasoning the plain flour),salt
210,250g plain flour,flour
210,5 spring onions,spring onions
210,3cm knob of ginger,ginger
210,3 cloves of garlic,garlic
210,100g sour cream,sour cream
210,100g gochujang,gochujang base
210,1 tsp apple cider vinegar,apple cider vinegar
210,1 tbsp sesame oil,sesame oil
210,3 tbsp honey,honey
210,2 tbsp soy sauce,soy sauce
210,2 tbsp crispy chilli oil with sediment (we used lee kum kee),chilli oil
210,½ head white cabbage,cabbage
210,bunch of coriander,coriander
210,bunch of spring onions,spring onions
210,100g mayo,mayonnaise
210,3 tbsp apple cider vinegar,apple cider vinegar
210,100g mayo,mayonnaise
210,100g kimchi,kimchi
210,6 brioche buns,brioche buns
211,2 unwaxed lemons,lemon
211,5 eggs,eggs
211,400g spaghetti,spaghetti
211,100g parmesan,parmesan
211,salt,salt
211,pepper,pepper
212,4 red chillies,chillies
212,4 cloves of garlic,garlic
212,5cm knob of ginger,ginger
212,1 onion,onion
212,1 mango,mango
212,3 tbsp tomato purée,tomato puree
212,4 tbsp tamarind purée,tamarind purée
212,2 tbsp tahini,tahini
212,1 spring onion,spring onion
212,500g firm silken tofu,tofu
212,vegetable oil,vegetable oil
212,salt,salt
213,1 cauliflower,cauliflower
213,50g butter,butter
213,1 tsp cumin seeds,cumin seeds
213,1 tbsp tomato purée,tomato puree
213,1 tbsp garlic and ginger paste,garlic and ginger paste
213,1 tsp chilli powder,chilli powder
213,½ tsp ground turmeric,turmeric
213,50g plain flour,flour
213,500ml milk,milk
213,200g cheddar,cheddar
213,salt,salt
213,pepper,pepper
214,4 pak choi,pak choi
214,1 bunch spring onions,spring onions
214,2 inches fresh ginger,ginger
214,4 tbsp sriracha,sriracha
214,2 tbsp soy sauce,soy sauce
214,2 tbsp honey,honey
214,2 tbsp cornflour,cornflour
214,1 tbsp sunflower oil,sunflower oil
214,8 quorn fillets,fillets
214,320g jasmine rice,jasmine rice
214,30g sesame seeds,sesame seeds
214,1 lime,lime
215,500g beef brisket,beef brisket
215,1 tsp cayenne,cayenne
215,1 tsp ground coriander,coriander
215,1 tsp garlic powder,garlic powder
215,½ tsp cumin,cumin
215,½ tsp onion salt,onion salt
215,1 tsp smoked paprika,paprika
215,1 clove of garlic,garlic
215,1 white onion,onion
215,1 lime,lime
215,4 tbsp bull's-eye original bbq sauce,bbq sauce
215,1 baguette,baguette
215,20g butter,butter
215,50g cheddar,cheddar
215,100g mixed leaf salad,salad
215,salt,salt
215,olive oil,olive oil
216,½ spanish white onion,sweet onion
216,200g smoked bacon,bacon
216,250ml white wine,wine
216,2 tins of napolina plum tomatoes,tomatoes
216,400g napolina spaghetti,spaghetti
216,50g pecorino cheese,pecorino cheese
216,napolina olive oil,olive oil
216,salt,salt
216,pepper,pepper
217,100g mayo,mayonnaise
217,2 tsp chipotle paste,chipotle paste
217,2 limes,lime
217,¼ red cabbage,cabbage
217,1 bunch of coriander,coriander
217,1 cauliflower,cauliflower
217,200g self-raising flour,self-raising flour
217,1 tsp paprika,paprika
217,ice,ice
217,250ml beer,beer
217,12 tortillas,tortillas
217,salt,salt
217,vegetable oil,vegetable oil
218,7 cloves of garlic,garlic
218,4 spring onions,spring onions
218,250g kimchi,kimchi
218,300g mature cheddar cheese,cheddar cheese
218,200g emmental cheese,emmenthal
218,500g macaroni,macaroni
218,50g butter,butter
218,3 tbsp gochujang,gochujang base
218,3 tbsp plain flour,flour
218,750ml milk,milk
218,3 tbsp honey,honey
218,50g breadcrumbs,breadcrumbs
218,a small handful of parsley,parsley
218,40g parmesan,parmesan
218,salt,salt
218,olive oil,olive oil
219,2 cucumbers,cucumber
219,1 bunch spring onions,spring onions
219,250g halloumi,halloumi
219,2 tbsp tahini,tahini
219,1 tbsp soy sauce,soy sauce
219,2 tbsp crispy chilli oil,chilli oil
220,1kg good quality ocado tomatoes,tomatoes
220,4 cloves of garlic,garlic
220,2 red chillies,chillies
220,bunch of basil,basil
220,bunch of chives,chives
220,500g rigatoni,rigatoni
220,250g buffalo mozzarella,mozzarella
220,salt,salt
220,pepper,pepper
220,olive oil,olive oil
221,600g chicken legs and thighs,chicken legs and thighs
221,100g plain whole milk yoghurt,milk yoghurt
221,1 tsp cumin seeds,cumin seeds
221,2 tsp coriander seeds,coriander seeds
221,6 cloves,cloves
221,½ tsp fennel seeds,fennel seeds
221,1 tsp black peppercorns,peppercorns
221,4 green cardamom pods,cardamom pods
221,350g tilda pure basmati rice,basmati rice
221,1 tsp chilli powder,chilli powder
221,3 tsp turmeric powder,turmeric
221,½ tsp ground nutmeg (optional),nutmeg
221,2 whole black cardamom pods (optional),black cardamom pods
221,½ cinnamon stick,cinnamon
221,¼ tsp sugar,sugar
221,4 tbsp ghee,ghee
221,4 large onions,onions
221,8 garlic cloves,garlic
221,3cm knob of ginger,ginger
221,3 tomatoes,tomatoes
221,1-2 small green finger chillies,finger chili
221,2 lemons,lemon
221,a small handful of mint leaves,mint leaves
221,a small bunch of coriander,coriander
221,4 tbsp milk,milk
221,vegetable oil,vegetable oil
221,salt,salt
222,2 cloves of garlic,garlic
222,½ tsp chilli flakes,chilli
222,800g tinned tomatoes,tomatoes
222,handful of basil,basil
222,6 tbsp mayonnaise,mayonnaise
222,8 pork sausages,pork sausages
222,150g mozzarella,mozzarella
222,4 ciabatta rolls,ciabatta
222,salt,salt
222,pepper,pepper
222,olive oil,olive oil
223,400g rigatoni,rigatoni
223,2 large aubergines,aubergines
223,handful of fresh mint,mint
223,100g ‘nduja,‘nduja
223,2 tbsp dried oregano,oregano
223,1 lemon,lemon
223,handful of pecorino,pecorino
223,olive oil,olive oil
223,salt,salt
224,2 tsp chipotle chilli paste,chilli paste
224,1 tsp ground cumin,cumin
224,1 tsp ground coriander,coriander
224,1 tsp smoked paprika,paprika
224,4 limes,lime
224,1 whole chicken,chicken
224,2 avocados,avocado
224,1 jalapeño,jalapeno
224,100g sour cream,sour cream
224,2 corns on the cob,corncobs
224,1 red onion,onion
224,250g cherry tomatoes,cherry tomatoes
224,handful of coriander,coriander
224,salt,salt
224,olive oil,olive oil
225,200g frozen peas,peas
225,500g thick greek yoghurt,yoghurt
225,2 lemons,lemon
225,3 onions,onions
225,3 cloves of garlic,garlic
225,2 small courgettes,zucchini
225,250g of artichokes in oil,artichokes
225,2 baby gem lettuce,baby gem lettuce
225,3 pitta breads,pita bread
225,50g butter,butter
225,1 tsp aleppo chilli flakes (or regular chilli flakes),aleppo pepper or chilli flakes
225,2 tsp sumac,sumac
225,handful of mint,mint
225,salt,salt
225,olive oil,olive oil
226,2 x 140g quorn roasted sliced fillets,fillets
226,3 tbsp soy sauce,soy sauce
226,2 tbsp brown sugar,sugar
226,200g green beans,beans
226,3 shallots,shallots
226,50g peanuts,peanuts
226,½ red cabbage,cabbage
226,2 grapefruits,grapefruit
226,bunch of mint,mint
226,150g beansprouts,beansprouts
226,2 carrots,carrots
226,2 tbsp pickled ginger,ginger
226,3 red chillies,chillies
226,3 tbsp toasted sesame oil,sesame oil
226,1 lime,lime
226,salt,salt
226,vegetable oil,vegetable oil
227,1 loaf of ciabatta,ciabatta
227,900g tomatoes,tomatoes
227,4 peaches,peaches
227,225g green olives,olives
227,1 lemon,lemon
227,bunch of basil,basil
227,salt,salt
227,pepper,pepper
227,olive oil,olive oil
228,2 green chillies,chillies
228,bunch of coriander,coriander
228,2 tbsp pickled jalapeños,jalapeno chilies
228,2 limes,lime
228,800g 12% beef mince,beef mince
228,150g red leicester,red leicester
228,4 streaky bacon rashers,streaky bacon
228,4 seeded buns,sesame seed hamburger buns
228,"100ml bull’s-eye original bbq sauce, plus more to serve",bbq sauce
228,salt,salt
228,pepper,pepper
228,olive oil,olive oil
229,150g runner beans,runner beans
229,400g sausages,sausages
229,a pinch of chilli flakes,chilli
229,100g peas,peas
229,150g mascarpone,mascarpone
229,500g pasta,pasta
229,100g parmesan,parmesan
229,salt,salt
229,pepper,pepper
229,olive oil,olive oil
230,200g smoked bacon,bacon
230,4 cloves of garlic,garlic
230,225g halloumi,halloumi
230,4 eggs,eggs
230,500g leftover cooked rice,rice
230,4 tbsp sesame oil,sesame oil
230,2 tbsp dark soy,dark soy
230,2 tbsp mirin,mirin
230,2 tbsp honey,honey
230,5 spring onions,spring onions
230,vegetable oil,vegetable oil
231,500g tomatoes,tomatoes
231,1 red pepper,pepper
231,4 cloves of garlic,garlic
231,2 spring onions,spring onions
231,1 red onion,onion
231,4 limes,lime
231,small handful of coriander,coriander
231,2 tbsp bull’s-eye kentucky habanero hot sauce,sauce
231,500g beef steak,beef steak
231,1 tsp chilli powder,chilli powder
231,½ tsp ground cumin,cumin
231,½ tsp dried oregano,oregano
231,8 taco tortillas,soft corn tortillas
231,300g feta,feta
232,3 aubergines,aubergines
232,400g cherry tomatoes,cherry tomatoes
232,2 cloves of garlic,garlic
232,3cm knob of ginger,ginger
232,1 tsp ground coriander,coriander
232,1 tsp ground cumin,cumin
232,1 tsp turmeric,turmeric
232,½ tsp chilli powder,chilli powder
232,400g chopped tomatoes,tomatoes
232,400g tinned chickpeas,chickpeas
232,400g coconut milk,coconut milk
232,2 green chillies,chillies
232,handful of coriander,coriander
232,salt,salt
232,vegetable oil,vegetable oil
233,1 red onion,onion
233,6 garlic cloves,garlic
233,bunch of parsley,parsley
233,500g tinned chickpeas,chickpeas
233,4 tsp ground cumin,cumin
233,4 tsp smoked paprika,paprika
233,2 tsp ground cinnamon,cinnamon
233,2 tbsp tomato purée,tomato puree
233,120g breadcrumbs,breadcrumbs
233,2 tbsp soy sauce,soy sauce
233,2 eggs,eggs
233,400g baby plum tomatoes,tomatoes
233,1 cucumber,cucumber
233,2 lemons,lemon
233,2 tsp sumac,sumac
233,4 tbsp tahini,tahini
233,2 tbsp harissa paste,harissa paste
233,4 wholemeal pittas,pita bread
233,500g arla skyr creamy 5% yogurt,skyr yogurt
233,salt,salt
233,pepper,pepper
233,olive oil,olive oil
234,600g chicken thigh fillets,chicken thigh
234,½ tsp chinese five spice,five spice
234,2 tbsp crispy chilli oil,chilli oil
234,1 tsp sesame oil,sesame oil
234,2 cloves of garlic,garlic
234,1 loaf of ciabatta,ciabatta
234,1 tbsp sesame seeds,sesame seeds
234,1 tbsp black sesame seeds,sesame seeds
234,1 egg,egg
234,3 tbsp xo sauce,xo sauce
234,1 tsp dijon mustard,dijon mustard
234,"30g parmesan, plus more to serve",parmesan
234,1 lemon,lemon
234,4 little gem lettuce,baby gem lettuce
234,salt,salt
234,pepper,pepper
234,vegetable oil,vegetable oil
235,25g walnuts,walnuts
235,220g jarred red peppers,peppers
235,small bunch of basil,basil
235,6 tinned anchovies,anchovies
235,2 tsp capers,capers
235,25g parmesan,parmesan
235,1 tbsp red wine vinegar,wine vinegar
235,500g rigatoni,rigatoni
235,salt,salt
235,pepper,pepper
235,olive oil,olive oil
236,500g mixed wild mushrooms,mushrooms
236,½ tsp cumin seeds,cumin seeds
236,1 tbsp honey,honey
236,5cm knob of ginger,ginger
236,3 cloves of garlic,garlic
236,4 tbsp miso paste,miso paste
236,2 tbsp soy sauce,soy sauce
236,300g spinach,spinach
236,400g firm tofu,tofu
236,400g soba noodles,soba noodles
236,4 tbsp sesame oil,sesame oil
236,2 tbsp sesame seeds,sesame seeds
236,salt,salt
236,pepper,pepper
237,1 clove of garlic,garlic
237,1 sprig of rosemary,rosemary
237,800g gnocchi,gnocchi
237,500g cherry tomatoes,cherry tomatoes
237,½ tsp chilli flakes,chilli
237,250g burrata,burrata
237,30g pine nuts,pine nuts
237,large bunch of basil,basil
237,30g parmesan,parmesan
237,salt,salt
237,pepper,pepper
237,olive oil,olive oil
238,150g raw king prawns shelled,king prawns
238,4 small crusty baguettes,baguette
238,1 lemon,lemon
238,5 tbsp pret ketchup,ketchup
238,4 tbsp mayo,mayonnaise
238,1 tsp worcestershire sauce,worcestershire sauce
238,2 spring onions,spring onions
238,handful iceberg lettuce,lettuce
238,2 tsps black and white sesame seeds,sesame seeds
238,1 tbsp butter,butter
238,salt,salt
238,pepper,pepper
239,500g cooked beetroot,beetroot
239,2 cloves of garlic,garlic
239,2 red chillies,chillies
239,bunch of coriander,coriander
239,3 limes,lime
239,200g feta,feta
239,30g pumpkin seeds,pumpkin seeds
239,salt,salt
239,pepper,pepper
239,olive oil,olive oil
240,½ cucumber,cucumber
240,3 limes,lime
240,1 lemongrass stick,lemongrass
240,3 red chillies,chillies
240,2 cloves garlic,garlic
240,1 shallot,shallot
240,350g quorn mince,minced meat
240,5 tbsp light brown sugar,sugar
240,3 tbsp apple cider vinegar,apple cider vinegar
240,one bunch coriander,coriander
240,5 spring onions,spring onions
240,one bunch mint,mint
240,3 tbsp jasmine rice,jasmine rice
240,sesame oil,sesame oil
240,2 tbsp sriracha,sriracha
240,400g vermicelli noodles,vermicelli noodles
240,salt,salt
240,vegetable oil,vegetable oil
241,8 eggs,eggs
241,200g chorizo,chorizo
241,3 tomatoes,tomatoes
241,½ red onion,onion
241,a small handful of coriander,coriander
241,2 tbsp bull’s-eye carolina reaper extra hot sauce,sauce
241,1 lime,lime
241,50g cheddar cheese,cheddar cheese
241,1 avocado,avocado
241,4 tortillas,tortillas
241,salt,salt
241,pepper,pepper
241,olive oil,olive oil
242,1 litre vegetable stock,vegetable stock
242,1 onion,onion
242,5 cloves of garlic,garlic
242,250g oyster mushrooms,oyster mushrooms
242,100g butter,butter
242,300g risotto rice (we used carnaroli),risotto rice
242,175ml white wine,wine
242,100g pecorino cheese,pecorino cheese
242,4 chestnut mushrooms,chestnut mushrooms
242,4 fresh organic eggs,eggs
242,salt,salt
242,pepper,pepper
242,olive oil,olive oil
243,500g leeks,leeks
243,bunch of dill,dill
243,bunch of mint,mint
243,200g feta,feta
243,250g ricotta,ricotta
243,2 lemons,lemon
243,290g pitted kalamata olives,pitted kalamata olives
243,280g filo pastry,phyllo pastry
243,salt,salt
243,pepper,pepper
243,olive oil,olive oil
244,4 bulbs of fennel,fennel
244,50g unsalted butter,butter
244,50g white miso paste,miso paste
244,50g cashews,cashews
244,50g breadcrumbs,breadcrumbs
244,½ tsp chilli powder,chilli powder
244,1 lime,lime
245,500g chorizo sausage,chorizo sausage
245,3 large onions,onions
245,2 garlic cloves,garlic
245,200g cherry tomatoes,cherry tomatoes
245,1 tbsp chilli flakes,chilli
245,400ml red wine,wine
245,75g dark brown sugar,brown dark sugar
245,50ml mayonnaise,mayonnaise
245,15ml american mustard,mustard
245,10ml ketchup,ketchup
245,½ tsp smoked paprika,paprika
245,25g gherkins,gherkins
245,800g 12% beef mince,beef mince
245,8 slices of american cheese,cheese
245,¼ head of iceberg lettuce,lettuce
245,4 seeded buns,sesame seed hamburger buns
245,salt,salt
245,olive oil,olive oil
246,400g bucatini,bucatini
246,8 cloves garlic,garlic
246,3 spring onions,spring onions
246,4cm knob of ginger,ginger
246,1 tbsp crispy chilli oil,chilli oil
246,3 tbsp soy sauce,soy sauce
246,a small handful coriander,coriander
246,25g parmesan,parmesan
246,salt,salt
246,olive oil,olive oil
247,10 dried chillies,chillies
247,2 shallots,shallots
247,2 sticks of lemongrass,lemongrass
247,1 tsp galangal paste (or ginger),galangal paste or ginger
247,4 cloves of garlic,garlic
247,1 tsp ground coriander,coriander
247,1 large butternut squash,butternut squash
247,400g firm tofu,tofu
247,30g cornflour,cornflour
247,½ tsp ground coriander,ground coriander
247,1 large red pepper,pepper
247,800ml coconut milk,coconut milk
247,1 tsp light brown sugar,sugar
247,1 tsp soy sauce,soy sauce
247,250g tilda fragrant jasmine rice,jasmine rice
247,handful of coriander,coriander
247,2 limes,lime
247,salt,salt
247,pepper,pepper
247,vegetable oil,vegetable oil
248,8 free range pork belly rib slices,pork belly slices
248,1 tbsp sea salt flakes,sea salt
248,1 tbsp sugar,sugar
248,1 tsp fennel seeds,fennel seeds
248,1 tsp coriander seeds,coriander seeds
248,1 tsp cumin seeds,cumin seeds
248,1 tsp onion granules,onion granules
248,1 tsp garlic granules,garlic granules
248,1 large baguette,baguette
248,½ white cabbage,cabbage
248,1 carrot,carrot
248,1 white onion,onion
248,handful of parsley,parsley
248,230ml white wine vinegar,wine vinegar
248,460ml caster sugar,caster sugar
248,2 large cooking apples,apples
248,1 tbsp honey,honey
248,3 tbsp bull’s-eye carolina reaper extra hot sauce,sauce
248,½ lemon,lemon
248,6 tbsp mayonnaise,mayonnaise
248,1 clove of garlic,garlic
248,½ lemon,lemon
249,480g pork belly strips,pork belly strips
249,2 tbsp light soy sauce,soy sauce
249,2 red chillies,chillies
249,4 spring onions,spring onions
249,2 cloves of garlic,garlic
249,600g cooked long grain rice,grain rice
249,2 eggs,eggs
249,1 tbsp fish sauce,fish sauce
249,salt,salt
249,pepper,pepper
250,650g chicken thigh fillets,chicken thigh
250,1 tsp smoked paprika,paprika
250,1⁄2 tsp ground cumin,cumin
250,1⁄2 tsp cayenne pepper,cayenne pepper
250,200g red leicester,red leicester
250,250g low moisture mozzarella,mozzarella
250,4 spring onions,spring onions
250,100ml bull’s-eye smokey chipotle bbq sauce,bbq sauce
250,8 large flour tortillas,flour tortillas
250,salt,salt
250,pepper,pepper
250,olive oil,olive oil
251,1kg skin-on chicken thighs,chicken thighs
251,2 tbsp oregano,oregano
251,1 tbsp red wine vinegar,wine vinegar
251,3 cloves garlic,garlic
251,300g tomatoes,tomatoes
251,1 cucumber,cucumber
251,½ red onion,onion
251,16 kalamata olives,kalamata olives
251,100g feta,feta
251,1 lemon,lemon
251,150g greek yoghurt,yoghurt
251,salt,salt
251,pepper,pepper
251,olive oil,olive oil
252,"1kg uncooked prawns, deveined and head taken off",prawns
252,1 tsp turmeric,turmeric
252,2 tsp butter,butter
252,2 bay leaves,bay leaves
252,4 cloves,clove
252,3 cardamom pods,cardamom pods
252,1 cinnamon stick,cinnamon
252,2 onions,onions
252,5cm knob of ginger,ginger
252,1 tsp sugar,sugar
252,2 tbsp greek yogurt,yogurt
252,400ml coconut milk,coconut milk
252,1 tbsp coconut cream,coconut cream
252,1 tsp garam masala,garam masala
252,handful of coriander leaves,coriander
252,salt,salt
252,vegetable oil,vegetable oil
253,500g tomatoes,tomatoes
253,2 red peppers,peppers
253,1 onion,onion
253,500g ground lamb,lamb
253,1 bunch of parsley,parsley
253,20g walnuts,walnuts
253,½ green pepper,pepper
253,5 cloves of garlic,garlic
253,3cm knob of ginger,ginger
253,1 tsp chilli powder,chilli powder
253,1 tsp ground allspice,allspice
253,½ ground cinnamon,cinnamon
253,1 tsp sumac,sumac
253,2 tbsps butter,butter
253,4 plain naans,naan
253,olive oil,olive oil
253,salt,salt
254,2 cauliflower heads,cauliflower
254,60g pistachios,pistachios
254,1 lemon,lemon
254,large bunch of basil,basil
254,75g parmesan,parmesan
254,2 red chillies,chillies
254,salt,salt
254,pepper,pepper
254,olive oil,olive oil
255,200g rice vermicelli noodles,rice vermicelli
255,1 onion,onion
255,1 red pepper,pepper
255,1 carrot,carrot
255,75g mangetout,mangetout
255,2 spring onions,spring onions
255,2 cloves of garlic,garlic
255,2 tbsp curry powder,curry powder
255,½ tsp chilli powder,chilli powder
255,2 tbsp light soy sauce or tamari,soy sauce or tamari
255,1 tbsp shaoxing rice wine,rice wine
255,salt,salt
255,vegetable oil,vegetable oil
256,1kg chicken wings,chicken wings
256,160g cornflour,cornflour
256,30g plain flour,flour
256,120g bull’s-eye louisiana chipotle with cajun spices hot sauce,sauce
256,60g butter,butter
256,1 lime,lime
256,3 tbsp honey,honey
256,small handful of chives,chives
256,salt,salt
256,vegetable oil,vegetable oil
257,500g tomatoes,tomatoes
257,1 red pepper,pepper
257,1 clove of garlic,garlic
257,2 red chillies,chillies
257,3 spring onions,spring onions
257,flaky sea salt,sea salt flakes
257,olive oil,olive oil
258,2 tbsp pine nuts,pine nuts
258,600g jarred red peppers,peppers
258,2 tbsp capers,capers
258,2 red chillies,chillies
258,7 tbsp red wine vinegar,wine vinegar
258,1 & 1/2 tbsp coriander seeds,coriander seeds
258,4 aubergines,aubergines
258,a handful of fresh basil,basil
258,salt,salt
258,pepper,pepper
258,olive oil,olive oil
259,4 chicken breasts,chicken breasts
259,3 cloves of garlic,garlic
259,3 red peppers,peppers
259,bunch of parsley,parsley
259,300ml chicken stock,chicken stock
259,1 tsp chilli flakes,chilli
259,150ml white wine,wine
259,salt,salt
259,pepper,pepper
259,olive oil,olive oil
260,1 onion,onion
260,1 carrot,carrot
260,2 sticks of celery,celery
260,4 large tomatoes,tomatoes
260,1 tsp dried oregano,oregano
260,1 tsp tomato purée,tomato puree
260,400ml vegetable stock,vegetable stock
260,1.2kg tinned butter beans,butter beans
260,1 bay leaf,bay leaf
260,1 stick of cinnamon,cinnamon
260,handful of mint,mint
260,salt,salt
260,pepper,pepper
260,olive oil,olive oil
261,4 chicken breasts,chicken breasts
261,500g streaky bacon,streaky bacon
261,600ml bull’s-eye ny steakhouse bbq sauce,bbq sauce
261,200g mature cheddar,cheddar
261,50g sour cream,sour cream
261,a small handful of chives,chives
261,4 potatoes,potatoes
261,50g butter,butter
261,100ml milk,milk
261,2 tbsp brown sugar,sugar
261,2 shallots,shallots
261,250ml chicken stock,chicken stock
261,salt,salt
261,pepper,pepper
261,olive oil,olive oil
262,750g potatoes,potatoes
262,1 bulb of garlic,garlic
262,1 red chilli,chilli
262,2 additional cloves of garlic,garlic
262,1 tbsp sweet smoked paprika,paprika
262,2 spring onions,spring onions
262,100g chorizo,chorizo
262,20g flour,flour
262,1 tbsp tomato purée,tomato puree
262,400g passata,passata
262,150ml chicken stock,chicken stock
262,4 tbsp mayonnaise,mayonnaise
262,handful of parsley,parsley
262,salt,salt
262,olive oil,olive oil
263,1 bunch spring onions,spring onions
263,400g chestnut mushrooms,chestnut mushrooms
263,4 eggs,eggs
263,"40g parmesan, plus more for serving",parmesan
263,50g white miso paste,miso paste
263,50g tahini,tahini
263,½ tsp chilli flakes,chilli
263,4cm knob ginger,ginger
263,1 tbsp soy sauce,soy sauce
263,500g udon,udon
263,olive oil,olive oil
263,black pepper,pepper
264,6 ripe plum tomatoes,tomatoes
264,160g cold butter,butter
264,1 lemon,lemon
264,2 small cloves of garlic,garlic
264,handful of parsley,parsley
264,500g mafaldine pasta,mafaldine
264,"30g parmesan, plus extra to serve",parmesan
264,salt,salt
264,pepper,pepper
265,800g low moisture mozzarella cheese,mozzarella cheese
265,2 tbsp paprika,paprika
265,2 tbsp ground cumin,cumin
265,2 tbsp ground oregano,oregano
265,3 large eggs,eggs
265,150ml milk,milk
265,200g panko breadcrumbs,panko breadcrumbs
265,200g plain flour,flour
265,3 cloves of garlic,garlic
265,2 tbsp chipotle paste,chipotle paste
265,400g tinned chopped tomatoes,tomatoes
265,olive oil,olive oil
265,vegetable oil,vegetable oil
265,salt,salt
266,600g boneless pork belly,pork belly
266,1 carrot,carrot
266,3 tbsp apple cider vinegar,apple cider vinegar
266,1 tsp white sugar,sugar
266,1 cucumber,cucumber
266,4 spring onions,spring onions
266,2 cloves garlic,garlic
266,1 shallot,shallot
266,2 large stalks of lemongrass,lemongrass
266,4 red chillis,chillies
266,1 tbsp honey,honey
266,3 tsp light brown sugar,sugar
266,2 tbsp soy sauce,soy sauce
266,2 tbsp fish sauce,fish sauce
266,½ tsp msg,msg
266,100g mayo,mayonnaise
266,2 limes,lime
266,a handful of coriander,coriander
266,4 baguettes,baguette
266,salt,salt
266,olive oil,olive oil
267,4 cloves of garlic,garlic
267,small handful of chives,chives
267,350g sausage meat,sausage
267,50g of mozzarella cheese,mozzarella cheese
267,½ tsp paprika,paprika
267,½ tsp onion salt,onion salt
267,¼ tsp dried sage,sage
267,170g plain flour,flour
267,50g of mozzarella cheese,mozzarella cheese
267,a bunch of coriander,coriander
267,half a bunch of mint,mint
267,1 lemon,lemon
267,1 tsp sugar,sugar
267,salt,salt
267,pepper,pepper
267,olive oil,olive oil
268,650g cream cheese,cream cheese
268,175g digestive biscuits,biscuits
268,75g salted butter,butter
268,175g golden caster sugar,golden caster sugar
268,100ml double cream,double cream
268,3 large eggs,eggs
268,1 tsp vanilla extract,vanilla extract
268,4 oranges,oranges
269,500g paneer,paneer
269,4cm knob of ginger,ginger
269,4 cloves of garlic,garlic
269,1 tsp cumin,cumin
269,½ tsp chilli powder,chilli powder
269,½ tsp turmeric,turmeric
269,1 tbsp tomato purée,tomato puree
269,3 tbsp mango chutney,mango chutney
269,1 red onion,onion
269,1 lime,lime
269,2 tbsp curry powder,curry powder
269,250g natural yoghurt,yoghurt
269,4 large naan bread,naan bread
269,handful of coriander,coriander
269,2 red chillies,chillies
269,salt,salt
269,pepper,pepper
269,vegetable oil,vegetable oil
270,20g tandoori masala,tandoori masala
270,2 green chillies,chillies
270,50g ginger,ginger
270,4 cloves garlic,garlic
270,100g sea salt,sea salt
270,8 boneless skinless chicken thighs,chicken thighs
270,100ml buttermilk,buttermilk
270,4 tsp curry powder,curry powder
270,2 tsp turmeric,turmeric
270,½ bunch mint,mint
270,1 red chilli,chilli
270,200ml white wine vinegar,wine vinegar
270,100g caster sugar,caster sugar
270,2 granny smith apples,apples
270,½ cucumber,cucumber
270,200g yoghurt,yoghurt
270,1 tsp black mustard seeds,mustard seeds
270,150g mayo,mayonnaise
270,200g plain flour,flour
270,100g cornflour,cornflour
270,200g bombay mix,bombay mix
270,100g crispy shallots,shallots
270,8 slices of thick white bread,bread
270,vegetable oil,vegetable oil
271,1 tin black beans (400g),beans
271,½ tsp chilli flakes,chilli
271,¼ tsp fennel seeds,fennel seeds
271,"350g quorn mince, chilled",minced meat
271,75g breadcrumbs,breadcrumbs
271,2 eggs,eggs
271,1 tsp dried oregano,oregano
271,2 tsp smoked paprika,paprika
271,"200g roasted red peppers, drained",peppers
271,50g almonds,almonds
271,"100g oil-packed sun-dried tomatoes, drained",sun-dried tomatoes
271,2 cloves of garlic,garlic
271,1 tsp red wine vinegar,wine vinegar
271,100g gouda,gouda
271,1 baby gem lettuce,baby gem lettuce
271,4 brioche burger buns,brioche buns
271,extra virgin olive oil,virgin olive oil
271,salt,salt
271,pepper,pepper
272,200g yoghurt,yoghurt
272,a small handful of coriander,coriander
272,a small handful of mint,mint
272,2cm knob of ginger,ginger
272,2 green chillies,chillies
272,½ lemon,lemon
272,1 red onion,onion
272,1 tomato,tomato
272,200g mini popadoms,popadoms
272,3 tbsp tamarind sauce,tamarind sauce
272,4 tbsp mango chutney,mango chutney
272,3 tbsp pomegranate seeds,pomegranate seeds
272,1 tsp chaat masala (optional),chaat masala
272,salt,salt
273,200g cooking chorizo,chorizo
273,100g manchego,manchego
273,30ml olive oil,olive oil
